Tract,Total,Tot_White,Pct_White,Tot_Black,Pct_Black,Tot_Native,Pct_Native,Tot_Asian,Pct_Asian,Tot_Pac_Isl,Pct_Pac_Isl,Tot_Other,Pct_Other,Tot_Mixed,Pct_Mixed
435601,1672,945,56.51913876,210,12.55980861,5,0.2990430622,168,10.04784689,0,0,233,13.9354067,111,6.638755981
435602,1630,1042,63.92638037,151,9.263803681,0,0,247,15.15337423,14,0.8588957055,147,9.018404908,29,1.779141104
435700,1461,902,61.73853525,127,8.692676249,0,0,171,11.70431211,0,0,185,12.66255989,76,5.201916496
435800,1666,947,56.84273709,18,1.080432173,0,0,435,26.11044418,0,0,222,13.32533013,44,2.641056423
435900,1618,895,55.31520396,85,5.253399258,22,1.359703337,405,25.03090235,16,0.9888751545,115,7.107540173,80,4.944375773
436000,1432,882,61.59217877,27,1.88547486,39,2.723463687,283,19.76256983,10,0.6983240223,139,9.706703911,52,3.631284916
436100,1842,1031,55.97176982,106,5.754614549,46,2.497285559,472,25.62432139,0,0,153,8.306188925,34,1.845819761
436200,1261,629,49.88104679,286,22.68041237,7,0.5551149881,122,9.674861221,41,3.251387787,154,12.21252974,22,1.744647105
436300,2690,1265,47.0260223,416,15.46468401,12,0.4460966543,605,22.49070632,0,0,332,12.34200743,60,2.230483271
436401,2993,1497,50.01670565,559,18.6769128,7,0.2338790511,443,14.80120281,15,0.5011693953,238,7.951887738,234,7.818242566
436402,1019,717,70.36310108,130,12.7576055,0,0,116,11.38370952,0,0,36,3.532875368,20,1.962708538
436500,1699,823,48.44025898,271,15.95055915,11,0.6474396704,295,17.3631548,50,2.942907593,181,10.65332549,68,4.002354326
