Tract,Pct_Married,Pct_Widowed,Pct_Divorced,Pct_Separated,Pct_Never_Married
208620,34.3,7.5,7.8,4.2,46.2
208710,38.4,5.7,9.7,1.9,44.3
208720,24,1.4,6.3,2.7,65.7
208801,24.1,5.4,4.4,1.9,64.1
208802,33,7.8,6.9,1.1,51.2
208902,31.7,2.1,2.3,5.2,58.8
208903,19.1,3.1,4.8,2.8,70.1
208904,30.4,4.1,4.4,4.1,57.1
209102,27.1,4.8,8.8,3.9,55.4
209103,25.2,1.7,5.1,3.4,64.6
209104,30,1.5,5.1,5.4,58.1
209200,31.8,2.4,10.1,0.6,55.1
209300,28.9,1,4.2,4.5,61.4
209401,27.8,8.2,8.1,3.2,52.8
209402,19,3.5,4.3,2,71.2
209403,21.6,6.5,8.2,3.3,60.4
209510,32.2,6.1,9.7,4.6,47.4
209520,26.4,0.4,7.2,2.3,63.7
209810,22.9,8.9,6.9,5.6,55.7
209820,34.1,2.1,5,4.2,54.6
210010,38.8,4.7,4.7,5.8,46
211000,51.9,6.8,6.2,0.3,34.8
211120,40.2,3.7,8.4,3.5,44.1
211121,39.5,4.8,6,2.3,47.3
211122,38.2,6.6,11.8,2.2,41.2
211201,24.8,1.4,7.3,4.1,62.4
211202,37.9,3.9,6,2.8,49.5
211310,37.1,1,5.6,3.7,52.7
211320,26.9,2.8,4.2,1.2,64.8
211410,35.8,3.6,12.9,4.5,43.2
211420,35,3.3,7.2,4.2,50.3
211500,50,6.4,8.7,0,34.9
211701,57.9,3.2,6.6,0.8,31.5
211703,34.6,3.4,8.3,3.8,49.8
211704,34.1,9,10.1,3.4,43.4
211802,41.5,2.1,7.8,3.1,45.5
211803,49.4,3.2,6.8,1.1,39.6
211804,39.6,4.3,8.5,3.6,44
211910,27.8,1.2,7.1,5.3,58.7
211921,44.5,1.8,4.6,2.3,46.8
211922,37.1,2.5,5.1,3,52.3
212101,27.8,4.1,5.5,3.8,58.7
212102,29.6,8.7,8.4,2.7,50.7
212202,27.4,4.5,3.4,1.8,62.9
212203,23.1,6.1,10.9,2.2,57.8
212204,34.6,1.6,4.4,3.2,56.2
212303,28.2,0.3,7.3,3.7,60.5
212304,22.7,5.2,6.6,4,61.5
212305,29.1,3.4,7.7,4.6,55.2
212306,40.5,5.3,9.2,3.2,41.8
212410,29.6,4.5,12.4,3.4,50.1
212420,37.9,2.1,7.2,2.5,50.3
212501,24.5,1.2,7.4,2,64.9
212502,34.8,1.6,6.6,3,54
212610,46.7,4.5,5.1,1.5,42.1
212620,39.2,3,12.3,3.2,42.3
212701,39.5,10.2,8,4.2,38.2
212702,42.8,7.2,10.4,1.2,38.5
212800,42.2,3,6.4,2.7,45.7
212900,43.3,2.3,4.6,4.1,45.8
213100,43.4,4.3,6.4,0.5,45.5
213201,46.7,4.7,7.9,3,37.7
213202,38,5.4,8.4,2.5,45.7
213310,32.4,7.4,12.8,3.9,43.6
213320,34.1,5.6,6.4,3.6,50.2
